SMILES	Solvent	Reactivity Parameters	SMARTS
COC([C-](C(=O)OC)OC)=O	DMSO	N Parameter: 20.08 s N Parameter: 0.74	[CX3-]
C(C)OC([C-](C(=O)OCC)F)=O	DMSO	N Parameter: 20.63 s N Parameter: 0.76	[CX3-]
CCN1C(=O)[CH-]C(=O)N(CC)C1=S	DMSO	N Parameter: 14.90 s N Parameter: 0.80	[OX1]=[c][c-][c]=[OX1]
CN1C(=O)[CH-]C(=O)N(C)C1=O	DMSO	N Parameter: 17.46 s N Parameter: 0.72	[OX1]=[c][c-][c]=[OX1]
ClC1=CC=C(C=N[CH-]C(=O)OCC)C=C1	DMSO	N Parameter: 29.02 s N Parameter: 0.49	[CX3-]
C1(=CC=CC=C1)C(C1=CC=CC=C1)=N[CH-]C(=O)OCC	DMSO	N Parameter: 26.95 s N Parameter: 0.52	[CX3-]
C(C1=CC=CC=C1)=N[CH-]C(=O)OCC	DMSO	N Parameter: 29.10 s N Parameter: 0.50	[CX3-]
C(C)OC(=O)[C-]1C(CCCCCCCCCC1)=O	DMSO	N Parameter: 20.60 s N Parameter: 0.63	[CX3-]
C(C)OC(=O)[C-]1C(CCCCC1)=O	DMSO	N Parameter: 19.53 s N Parameter: 0.83	[CX3-]
C(C)OC(=O)[C-]1C(CCCC1)=O	DMSO	N Parameter: 18.32 s N Parameter: 0.84	[CX3-]
C(C)OC(=O)[C-]1C(CCCCCC1)=O	DMSO	N Parameter: 20.02 s N Parameter: 0.76	[CX3-]
C(C)OC(=O)[C-]1C(CCC1)=O	DMSO	N Parameter: 18.63 s N Parameter: 0.82	[CX3-]
C(C)OC([C-](C(C)=O)C)=O	DMSO	N Parameter: 19.58 s N Parameter: 0.73	[CX3-]
C(C)OC([CH-]C(=O)C1=CC=C(C=C1)[N+](=O)[O-])=O	DMSO	N Parameter: 16.26 s N Parameter: 0.83	[CX3-]
CC1(OC([C-](C(O1)=O)CC1=CC=C(C=C1)[N+](=O)[O-])=O)C	DMSO	N Parameter: 12.02 s N Parameter: 1.17	[CX3-]
CCOC(=O)[CH-]C1=CC(Cl)=CC=C1	DMSO	N Parameter: 27.57 s N Parameter: 0.53	[CX3-]
CCOC(=O)[CH-]C1=CC=C(Br)C=C1	DMSO	N Parameter: 27.62 s N Parameter: 0.53	[CX3-]
CCOC(=O)[CH-]C1=CC=C(C=C1)C#N	DMSO	N Parameter: 23.64 s N Parameter: 0.65	[CX3-]
CCOC(=O)[CH-]C1=CC=C(C=C1)[N+]([O-])=O	DMSO	N Parameter: 20.00 s N Parameter: 0.71	[CX3-]
C(C1=CC=CC=C1)=N[C-](C(=O)OCC)C	DMSO	N Parameter: 30.82 s N Parameter: 0.41	[CX3-]
CCOC(=O)[CH-]C1=CC=NC=C1	DMSO	N Parameter: 23.27 s N Parameter: 0.70	[CX3-]
C(C)(C)(C)OC([CH-]N=C(C1=CC=CC=C1)C1=CC=CC=C1)=O	DMSO	N Parameter: 27.77 s N Parameter: 0.47	[CX3-]
Cl[C-](C(=O)OCC)C(=O)OCC	DMSO	N Parameter: 18.19 s N Parameter: 0.74	[CX3-]
C(C)OC([C-](S(=O)(=O)C1=CC=CC=C1)F)=O	DMSO	N Parameter: 20.51 s N Parameter: 0.64	[CX3-]
C(C)OC([C-](S(=O)(=O)C1=CC=CC=C1)OC)=O	DMSO	N Parameter: 19.15 s N Parameter: 0.59	[CX3-]
C(C)OC([CH-]S(=O)(=O)C1=CC=CC=C1)=O	DMSO	N Parameter: 18.81 s N Parameter: 0.59	[CX3-]
F[C-]1S(C2=C(S1(=O)=O)C=CC=C2)(=O)=O	DMSO	N Parameter: 19.03 s N Parameter: 0.58	[CX3-]
CO[C-]1S(C2=C(S1(=O)=O)C=CC=C2)(=O)=O	DMSO	N Parameter: 17.36 s N Parameter: 0.71	[CX3-]
CCOC(=O)[CH-]C1=CC=CC=C1	DMSO	N Parameter: 27.54 s N Parameter: 0.57	[CX3-]
O=C1[CH-]C(=O)NC(=S)N1	DMSO	N Parameter: 14.24 s N Parameter: 0.82	[OX1]=[c][c-][c]=[OX1]
S1([CH-]S(C2=C1C=CC=C2)(=O)=O)(=O)=O	DMSO	N Parameter: 16.06 s N Parameter: 0.69	[CX3-]
C(C)(=O)[C-]1C(OCCC1)=O	DMSO	N Parameter: 17.00 s N Parameter: 0.74	[CX3-]
C[C-]1C(OCCC1=O)=O	DMSO	N Parameter: 14.46 s N Parameter: 0.91	[CX3-]
CN(C1=CC=C(C[C-]2C(OC(OC2=O)(C)C)=O)C=C1)C	DMSO	N Parameter: 14.48 s N Parameter: 0.86	[CX3-]
COC1=CC=C(C[C-]2C(OC(OC2=O)(C)C)=O)C=C1	DMSO	N Parameter: 15.13 s N Parameter: 0.75	[CX3-]
C(#N)C1=CC=C(C[C-]2C(OC(OC2=O)(C)C)=O)C=C1	DMSO	N Parameter: 13.79 s N Parameter: 0.86	[CX3-]
C(C1=CC=CC=C1)[C-]1C(OC(OC1=O)(C)C)=O	DMSO	N Parameter: 15.02 s N Parameter: 0.75	[CX3-]
[O-][N+](=O)[CH-]C1=CC(=CC=C1)[N+]([O-])=O.[O-][N+]([O-])=CC1=CC(=CC=C1)[N+]([O-])=O	MeOH-MeCN mix	N Parameter: 14.75 s N Parameter: 0.71	[CX3-]
[O-][N+](=O)[CH-]C1=CC(=CC=C1)[N+]([O-])=O.[O-][N+]([O-])=CC1=CC(=CC=C1)[N+]([O-])=O	DMSO	N Parameter: 18.06 s N Parameter: 0.71	[CX3-]
[O-][N+](=O)[CH-]C1=CC(=CC=C1)[N+]([O-])=O.[O-][N+]([O-])=CC1=CC(=CC=C1)[N+]([O-])=O	water	N Parameter: 14.25 s N Parameter: 0.46	[CX3-]
FC(F)(F)C1=CC=C([CH-]S(=O)(=O)C2=CC=CC=C2)C=C1	DMSO	N Parameter: 24.30 s N Parameter: 0.51	[CX3-]
[O-][N+](=O)[CH-]C1=CC=C(C=C1)C#N.O[N+]([O-])=CC1=CC=C(C=C1)C#N	DMSO	N Parameter: 22.60 s N Parameter: 0.57	[CX3-]
[O-][N+](=O)[CH-]C1=CC=C(C=C1)C#N.[O-][N+]([O-])=CC1=CC=C(C=C1)C#N	MeOH-MeCN mix	N Parameter: 13.92 s N Parameter: 0.74	[CX3-]
[O-][N+](=O)[CH-]C1=CC=C(C=C1)C#N.[O-][N+]([O-])=CC1=CC=C(C=C1)C#N	DMSO	N Parameter: 16.96 s N Parameter: 0.73	[CX3-]
[O-][N+](=O)[CH-]C1=CC=C(C=C1)C#N.[O-][N+]([O-])=CC1=CC=C(C=C1)C#N	water	N Parameter: 13.23 s N Parameter: 0.52	[CX3-]
[O-][N+](=O)[CH-]C1=CC=C(C=C1)[N+]([O-])=O.[O-][N+]([O-])=CC1=CC=C(C=C1)[N+]([O-])=O	MeOH-MeCN mix	N Parameter: 14.05 s N Parameter: 0.72	[CX3-]
[O-][N+](=O)[CH-]C1=CC=C(C=C1)[N+]([O-])=O.[O-][N+]([O-])=CC1=CC=C(C=C1)[N+]([O-])=O	DMSO	N Parameter: 16.29 s N Parameter: 0.75	[CX3-]
[O-][N+](=O)[CH-]C1=CC=C(C=C1)[N+]([O-])=O.[O-][N+]([O-])=CC1=CC=C(C=C1)[N+]([O-])=O	water	N Parameter: 13.58 s N Parameter: 0.52	[CX3-]
[O-][N+](=O)C1=CC=C([CH-]S(=O)(=O)C2=CC=CC=C2)C=C1	DMSO	N Parameter: 18.50 s N Parameter: 0.75	[CX3-]
[O-][N+](=O)C1=CC=C([CH-]S(=O)(=O)C2=CC=CC=C2)C=C1	MeCN	N Parameter: 19.90 s N Parameter: 0.66	[CX3-]
O=S(=O)([CH-]C1=CC=CC=C1)C1=CC=CC=C1	DMSO	N Parameter: 25.77 s N Parameter: 0.56	[CX3-]
O=S(=O)([C-](C1=CC=CC=C1)S(=O)(=O)C1=CC=CC=C1)C1=CC=CC=C1	DMSO	N Parameter: 15.07 s N Parameter: 0.79	[CX3-]
O=C([C-](C(=O)C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1	DMSO	N Parameter: 14.99 s N Parameter: 0.83	[CX3-]
O=C([CH-]C1=CC=CC=C1)C1=CC=CC=C1	DMSO	N Parameter: 23.15 s N Parameter: 0.60	[CX3-]
O=C([CH-]C(=O)C1=CC=CC=C1)C1=CC=CC=C1	DMSO	N Parameter: 17.46 s N Parameter: 0.65	[CX3-]
O=C([CH-]S(=O)(=O)C1=CC=CC=C1)C1=CC=CC=C1	DMSO	N Parameter: 17.19 s N Parameter: 0.56	[CX3-]
CC(=O)[CH-]C(=O)C1=CC=CC=C1	DMSO	N Parameter: 16.03 s N Parameter: 0.86	[CX3-]
CC(=O)[CH-]C1=CC=CC=C1	DMSO	N Parameter: 24.99 s N Parameter: 0.60	[CX3-]
C[C-](C#N)C1=CC=C(C=C1)C#N	DMSO	N Parameter: 25.35 s N Parameter: 0.56	[CX3-]
C[C-](C#N)C1=CC=C(C=C1)[N+]([O-])=O	DMSO	N Parameter: 19.61 s N Parameter: 0.60	[CX3-]
[O-][N+](=O)[CH-]C(=O)C1=CC=CC=C1.[O-][N+]([O-])=CC(=O)C1=CC=CC=C1	DMSO	N Parameter: 13.91 s N Parameter: 0.76	[CX3-]
C[C-](C)[N+]([O-])=O.CC(C)=[N+]([O-])[O-]	MeOH-MeCN mix	N Parameter: 12.20 s N Parameter: 0.71	[CX3-]
C[C-](C)[N+]([O-])=O.CC(C)=[N+]([O-])[O-]	DMSO	N Parameter: 20.61 s N Parameter: 0.69	[CX3-]
C[C-](C)[N+]([O-])=O.CC(C)=[N+]([O-])[O-]	water	N Parameter: 10.69 s N Parameter: 0.56	[CX3-]
O=S(=O)([C-](C#N)C1=CC=CC=C1)C1=CC=CC=C1	DMSO	N Parameter: 15.97 s N Parameter: 0.72	[CX3-]
C[C-](C#N)C1=CC=CC=C1	DMSO	N Parameter: 28.95 s N Parameter: 0.58	[CX3-]
N#C[C-](C#N)C1=CC=CC=C1	DMSO	N Parameter: 15.58 s N Parameter: 1.00	[CX3-]
C[C-](C(C)=O)C(C)=O	DMSO	N Parameter: 18.38 s N Parameter: 0.72	[CX3-]
C[C-](C(C)=O)C(C)=O	water	N Parameter: 14.33 s N Parameter: 0.69	[CX3-]
O=C([CH-]C#N)C1=CC=CC=C1	DMSO	N Parameter: 16.55 s N Parameter: 0.78	[CX3-]
FC(F)(F)C1=CC=C([CH-]S(=O)(=O)C(F)(F)F)C=C1	MeOH-MeCN mix	N Parameter: 20.72 s N Parameter: 0.58	[CX3-]
FC(F)(F)C1=CC=C([CH-]S(=O)(=O)C(F)(F)F)C=C1	DMSO	N Parameter: 17.33 s N Parameter: 0.74	[CX3-]
FC(F)(F)C1=CC=C([CH-]C#N)C=C1	MeCN	N Parameter: 16.15 s N Parameter: 0.99	[CX3-]
FC(F)(F)C1=CC=C([CH-]C#N)C=C1	DMSO	N Parameter: 27.28 s N Parameter: 0.50	[CX3-]
FC(F)(F)S(=O)(=O)[CH-]C1=CC=C(C=C1)C#N	MeOH-MeCN mix	N Parameter: 19.49 s N Parameter: 0.63	[CX3-]
FC(F)(F)S(=O)(=O)[CH-]C1=CC=C(C=C1)C#N	DMSO	N Parameter: 16.28 s N Parameter: 0.75	[CX3-]
FC(F)(F)S(=O)(=O)[CH-]C1=CC=C(C=C1)C#N	MeCN	N Parameter: 15.62 s N Parameter: 0.99	[CX3-]
N#C[CH-]C1=CC=C(C=C1)C#N	DMSO	N Parameter: 25.11 s N Parameter: 0.54	[CX3-]
CC1=CC=C([CH-]S(=O)(=O)C(F)(F)F)C=C1	DMSO	N Parameter: 19.35 s N Parameter: 0.67	[CX3-]
[O-][N+](=O)C1=CC=C([CH-]S(=O)(=O)C(F)(F)F)C=C1	MeOH-MeCN mix	N Parameter: 18.24 s N Parameter: 0.66	[CX3-]
[O-][N+](=O)C1=CC=C([CH-]S(=O)(=O)C(F)(F)F)C=C1	DMSO	N Parameter: 14.49 s N Parameter: 0.86	[CX3-]
[O-][N+](=O)C1=CC=C([CH-]C#N)C=C1	DMSO	N Parameter: 19.67 s N Parameter: 0.68	[CX3-]
[O-][N+](=O)C1=CC=C([CH-]C#N)C=C1	MeCN	N Parameter: 20.10 s N Parameter: 0.71	[CX3-]
CC1(C)OC(=O)[C-](C(=O)O1)C1=CC=CC=C1	DMSO	N Parameter: 12.35 s N Parameter: 0.90	[CX3-]
CC1(C)OC(=O)[C-](C(=O)O1)C1=CC=CC=C1	DMSO	N Parameter: 11.54 s N Parameter: 0.95	[CX3-]
CC(=O)[CH-]C(C)=O	DMSO	N Parameter: 17.64 s N Parameter: 0.73	[CX3-]
CC(=O)[CH-]C(C)=O	water	N Parameter: 13.73 s N Parameter: 0.64	[CX3-]
FC(F)(F)S(=O)(=O)[CH-]C1=CC=CC=C1	DMSO	N Parameter: 18.67 s N Parameter: 0.68	[CX3-]
CCOC(=O)[C-](C(=O)OCC)C1=CC=C(C=C1)[N+]([O-])=O	DMSO	N Parameter: 14.94 s N Parameter: 0.96	[CX3-]
CCOC(=O)[C-](C(C)=O)C(=O)OCC	DMSO	N Parameter: 13.83 s N Parameter: 0.84	[CX3-]
CCOC(=O)[C-](C(=O)OCC)C(=O)C1=CC=CC=C1	DMSO	N Parameter: 13.63 s N Parameter: 0.80	[CX3-]
CCOC(=O)C([C-](C)C)C(=O)OCC	DMSO	N Parameter: 18.74 s N Parameter: 0.71	[CX3-]
CCOC(=O)[C-](C(=O)OCC)C1=CC=C(OC)C=C1	DMSO	N Parameter: 16.73 s N Parameter: 0.91	[CX3-]
CCCC[C-](C(=O)OCC)C(=O)OCC	DMSO	N Parameter: 23.00 s N Parameter: 0.55	[CX3-]
CCOC(=O)[C-](C1CCCCC1)C(=O)OCC	DMSO	N Parameter: 19.23 s N Parameter: 0.67	[CX3-]
CCOC(=O)[C-](C(=O)OCC)C1=CC=CC=C1	DMSO	N Parameter: 15.93 s N Parameter: 0.99	[CX3-]
CCOC(=O)[CH-]C(=O)OCC	DMSO	N Parameter: 20.22 s N Parameter: 0.65	[CX3-]
CCOC(=O)[CH-]C(=O)OCC	water	N Parameter: 16.15 s N Parameter: 0.66	[CX3-]
CCOC(=O)[C-](C)C(=O)OCC	DMSO	N Parameter: 21.13 s N Parameter: 0.68	[CX3-]
CCOC(=O)[C-](C)C(=O)OCC	water	N Parameter: 17.68 s N Parameter: 0.50	[CX3-]
CC1(C)CC(=O)[CH-]C(=O)C1	DMSO	N Parameter: 16.27 s N Parameter: 0.77	[CX3-]
CC1(C)CC(=O)[CH-]C(=O)C1	water	N Parameter: 11.77 s N Parameter: 0.63	[CX3-]
COC(=O)[CH-]C(=O)OC	MeOH-MeCN mix	N Parameter: 18.24 s N Parameter: 0.64	[CX3-]
CCOC(=O)[C-](C#N)C1=CC=CC=C1	DMSO	N Parameter: 15.85 s N Parameter: 1.04	[CX3-]
CCOC(=O)[CH-][N+]([O-])=O.CCOC(=O)C=[N+]([O-])[O-]	DMSO	N Parameter: 15.24 s N Parameter: 0.74	[CX3-]
CCOC(=O)[CH-]C(=O)C1=CC=CC=C1	DMSO	N Parameter: 17.52 s N Parameter: 0.74	[CX3-]
CCOC(=O)[CH-]C(C)=O	DMSO	N Parameter: 18.82 s N Parameter: 0.69	[CX3-]
CCOC(=O)[CH-]C(C)=O	water	N Parameter: 15.99 s N Parameter: 0.62	[CX3-]
C(#N)[CH-]C(=O)OCC	MeOH-MeCN mix	N Parameter: 18.59 s N Parameter: 0.65	[CX3-]
C(#N)[CH-]C(=O)OCC	DMSO	N Parameter: 19.62 s N Parameter: 0.67	[CX3-]
C(#N)[CH-]C(=O)OCC	water	N Parameter: 15.57 s N Parameter: 0.58	[CX3-]
C([CH-]C#N)#N	MeOH-MeCN mix	N Parameter: 18.21 s N Parameter: 0.69	[CX3-]
C([CH-]C#N)#N	DMSO	N Parameter: 19.36 s N Parameter: 0.67	[CX3-]
C([CH-]C#N)#N	water	N Parameter: 19.50 s N Parameter: 0.55	[CX3-]
CC1(C)OC(=O)[CH-]C(=O)O1	water	N Parameter: 12.06 s N Parameter: 0.66	[CX3-]
CC1(C)OC(=O)[CH-]C(=O)O1	DMSO	N Parameter: 13.91 s N Parameter: 0.86	[CX3-]
CCN(CC)C(=O)[CH-]C(=O)C1=CC=CC=C1	DMSO	N Parameter: 19.28 s N Parameter: 0.65	[CX3-]
C[CH-][N+]([O-])=O.CC=[N+]([O-])[O-]	MeOH-MeCN mix	N Parameter: 13.41 s N Parameter: 0.67	[CX3-]
C[CH-][N+]([O-])=O.CC=[N+]([O-])[O-]	DMSO	N Parameter: 21.54 s N Parameter: 0.62	[CX3-]
C[CH-][N+]([O-])=O.CC=[N+]([O-])[O-]	water	N Parameter: 11.25 s N Parameter: 0.52	[CX3-]
[CH2-][N+]([O-])=O.C=[N+]([O-])[O-]	MeOH-MeCN mix	N Parameter: 14.02 s N Parameter: 0.61	[CX3-]
[CH2-][N+]([O-])=O.C=[N+]([O-])[O-]	DMSO	N Parameter: 20.71 s N Parameter: 0.60	[CX3-]
[CH2-][N+]([O-])=O.C=[N+]([O-])[O-]	water	N Parameter: 12.06 s N Parameter: 0.53	[CX3-]
CC1=CC=C([CH-][N+]([O-])=O)C=C1.CC1=CC=C(C=[N+]([O-])[O-])C=C1	MeOH-MeCN mix	N Parameter: 13.58 s N Parameter: 0.64	[CX3-]
CC1=CC=C([CH-][N+]([O-])=O)C=C1.CC1=CC=C(C=[N+]([O-])[O-])C=C1	DMSO	N Parameter: 18.31 s N Parameter: 0.76	[CX3-]
CC1=CC=C([CH-][N+]([O-])=O)C=C1.CC1=CC=C(C=[N+]([O-])[O-])C=C1	water	N Parameter: 13.09 s N Parameter: 0.50	[CX3-]
C1=CC=C([CH-][N+]([O-])=O)C=C1.C1=CC=C(C=[N+]([O-])[O-])C=C1	MeOH-MeCN mix	N Parameter: 12.51 s N Parameter: 0.67	[CX3-]
C1=CC=C([CH-][N+]([O-])=O)C=C1.C1=CC=C(C=[N+]([O-])[O-])C=C1	DMSO	N Parameter: 18.29 s N Parameter: 0.71	[CX3-]
C1=CC=C([CH-][N+]([O-])=O)C=C1.C1=CC=C(C=[N+]([O-])[O-])C=C1	water	N Parameter: 12.05 s N Parameter: 0.53	[CX3-]
CCOC(=O)[C-](C(=O)OCC)C(=O)OCC	DMSO	N Parameter: 15.33 s N Parameter: 0.72	[CX3-]
O=C1[CH-]C(=O)NC(=O)N1	DMSO	N Parameter: 15.59 s N Parameter: 0.80	[OX1]=[c][c-][c]=[OX1]
[N+](=O)([O-])C1=CC=C(C=C1)[CH-]C1=CC=C(C=C1)[N+](=O)[O-]	DMSO	N Parameter: 19.92 s N Parameter: 0.67	[CX3-]
C1(=CC=CC=C1)S(=O)(=O)[CH-]S(=O)(=O)C1=CC=CC=C1	DMSO	N Parameter: 15.68 s N Parameter: 0.74	[CX3-]
Br[CH-]S(=O)(=O)C1=CC=CC=C1	DMSO	N Parameter: 23.90 s N Parameter: 0.62	[CX3-]
Cl[CH-]S(=O)(=O)C1=CC=C(C=C1)Cl	DMSO	N Parameter: 26.90 s N Parameter: 0.45	[CX3-]
Cl[CH-]S(=O)(=O)C1=CC=C(C=C1)C#N	DMSO	N Parameter: 25.59 s N Parameter: 0.51	[CX3-]
Cl[CH-]S(=O)(=O)C1=CC=C(C=C1)[N+](=O)[O-]	DMSO	N Parameter: 24.88 s N Parameter: 0.49	[CX3-]
Cl[CH-]S(=O)(=O)C1=CC=CC=C1	DMSO	N Parameter: 28.27 s N Parameter: 0.42	[CX3-]
[C-]#N	MeCN	N Parameter: 16.27 s N Parameter: 0.70	[CX1-]#[NX1]
C(#N)[CH-]N=C(C1=CC=CC=C1)C1=CC=CC=C1	DMSO	N Parameter: 29.50 s N Parameter: 0.50	[CX3-]
F[C-](S(=O)(=O)C1=CC=CC=C1)S(=O)(=O)C1=CC=CC=C1	DMSO	N Parameter: 17.46 s N Parameter: 0.73	[CX3-]
[CH-]1C=CC2=CC=CC=C12	DMSO	N Parameter: 23.66 s N Parameter: 0.70	[CX3-]
[Li]C1C=CC2=CC=CC=C12	DMSO	N Parameter: 23.66 s N Parameter: 0.70	[CX3]=[CX3][CX4]([c])[Li]
CCOC(=O)[CH-]S(C)=O	DMSO	N Parameter: 20.61 s N Parameter: 0.64	[CX3-]
CCOC(=O)[CH-]S(C)(=O)=O	DMSO	N Parameter: 18.00 s N Parameter: 0.66	[CX3-]
CO[C-](S(=O)(=O)C1=CC=CC=C1)S(=O)(=O)C1=CC=CC=C1	DMSO	N Parameter: 17.29 s N Parameter: 0.70	[CX3-]
O=P([CH-]C#N)(C1=CC=CC=C1)C1=CC=CC=C1	DMSO	N Parameter: 18.69 s N Parameter: 0.72	[CX3-]
CCOC(=O)[CH-]P(=O)(C1=CC=CC=C1)C1=CC=CC=C1	DMSO	N Parameter: 19.20 s N Parameter: 0.69	[CX3-]
[CH-]1C=CC2=CC=CC=C12.[K]C1C=CC2=CC=CC=C12	DMSO	N Parameter: 24.16 s N Parameter: 0.68	[c-]1[c][c][c][c]1
[CH-]1C=CC2=CC=CC=C12.[Na]C1C=CC2=CC=CC=C12	DMSO	N Parameter: 23.74 s N Parameter: 0.71	[c-]1[c][c][c][c]1
O1CCC=C1	dichloromethane	N Parameter: 4.37 s N Parameter: 0.90	[$([OX2]([CX3])[CX4,c])][CX3H]=[CX3].[$([OX2]([CX3])[CX4,c])][CX3]([#6])=[CX3]
C(C)OC=C	dichloromethane	N Parameter: 3.92 s N Parameter: 0.90	[$([OX2]([CX3])[CX4,c])][CX3H]=[CX3].[$([OX2]([CX3])[CX4,c])][CX3]([#6])=[CX3]
CCOC=C(C)C	dichloromethane	N Parameter: 4.23 s N Parameter: 1.00	[$([OX2]([CX3])[CX4,c])][CX3H]=[CX3].[$([OX2]([CX3])[CX4,c])][CX3]([#6])=[CX3]
C(=C)OCCCC	dichloromethane	N Parameter: 3.76 s N Parameter: 0.91	[$([OX2]([CX3])[CX4,c])][CX3H]=[CX3].[$([OX2]([CX3])[CX4,c])][CX3]([#6])=[CX3]
FC(C(=C)O[Si](C)(C)C)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F	dichloromethane	N Parameter: -3.52 s N Parameter: 1.17	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C(C)(C)[Si](OC=C)(C(C)C)C(C)C	dichloromethane	N Parameter: 3.44 s N Parameter: 0.94	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C[Si](C)(C)[Si](OC=C)([Si](C)(C)C)[Si](C)(C)C	dichloromethane	N Parameter: 4.01 s N Parameter: 0.83	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C[Si](C)(C)O\C(=C/c1ccccc1)c1ccccc1	MeCN	N Parameter: 3.00 s N Parameter: 0.83	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C(C)(C)[Si](O\C=C/C)(C(C)C)C(C)C	dichloromethane	N Parameter: 3.87 s N Parameter: 1.00	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C\C=C(/O[Si](C)(C)C)c1ccccc1	MeCN	N Parameter: 5.18 s N Parameter: 0.94	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C[Si](OC(=CC)O[Si](C)(C)C)(C)C	dichloromethane	N Parameter: 10.38 s N Parameter: 0.87	[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[SiX4H0])])=[CX3]
C[Si](OC1=C(CCCC1)O[Si](C)(C)C)(C)C	dichloromethane	N Parameter: 4.46 s N Parameter: 1.15	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
FC1=C(C(=C(C(=C1F)F)F)F)C(=C)O[Si](C)(C)C	dichloromethane	N Parameter: 1.47 s N Parameter: 0.89	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C[Si](C)(C)OC1=CCCc2ccccc12	MeCN	N Parameter: 5.06 s N Parameter: 0.91	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C[Si](OC=CC=C)(C)C	dichloromethane	N Parameter: 4.60 s N Parameter: 0.90	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C[Si](OC1=CCCCCC1)(C)C	dichloromethane	N Parameter: 6.62 s N Parameter: 1.00	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C[Si](OC1=CCCCC1)(C)C	dichloromethane	N Parameter: 5.21 s N Parameter: 1.00	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C[Si](OC1=CCCCCCC1)(C)C	dichloromethane	N Parameter: 6.77 s N Parameter: 1.00	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C[Si](OC1=CCCC1)(C)C	dichloromethane	N Parameter: 6.57 s N Parameter: 0.93	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C[Si](OC1=CCCC1)(C)C	MeCN	N Parameter: 6.43 s N Parameter: 0.89	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C1(=CC=CC=C1)[Si](OC1=CCCC1)(C1=CC=CC=C1)C1=CC=CC=C1	dichloromethane	N Parameter: 5.76 s N Parameter: 1.02	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
FC1=C(C(=C(C(=C1[Si](OC1=CCCC1)(C1=C(C(=C(C(=C1F)F)F)F)F)C1=C(C(=C(C(=C1F)F)F)F)F)F)F)F)F	dichloromethane	N Parameter: 1.38 s N Parameter: 0.93	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C[Si](C)(C)[Si](OC1=CCCCC1)([Si](C)(C)C)[Si](C)(C)C	dichloromethane	N Parameter: 5.07 s N Parameter: 0.91	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C1(=CC=CC=C1)C(=C)O[Si](C)(C)C	dichloromethane	N Parameter: 6.22 s N Parameter: 0.96	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C(C)(C)(C)[Si](OC(=C)C)(C)C	dichloromethane	N Parameter: 5.58 s N Parameter: 0.90	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
